"ofr_divineplan","ofr_lessable","sr_tryhard","sr_generations","sr_crspeed","sr_realchange","sr_welfare","sr_deserveless","sr_complaint","sr_workway","indiv_hwSuccess","indiv_failsame","indiv_willwork","egal_ensureEO","egal_probnoequal","egal_lessproblem","aff_act","govt_aid_comb","govt_eqlopp_jobs","ideo7_sc","pid7_sc","ft_reps","ft_dems","educ4","int_polknow","age","fem"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,50,50,1,2,25,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,NA,7,5,0.5,0.833333333333333,NA,NA,1,2,49,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,7,4,0.166666666666667,0,60,70,0,2,84,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,4,4,0.833333333333333,0.666666666666667,85,40,1,5,72,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,4,5,1,1,100,0,1,3,51,1
1,1,3,2,5,3,4,3,2,4,2,3,4,1,3,2,5,6,4,0.5,0.5,85,85,2,3,68,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,7,3,NA,NA,100,0,1,1,34,1
2,1,2,2,5,1,4,4,4,4,4,4,4,1,1,1,4,5,5,1,0.666666666666667,15,15,1,3,59,0
1,1,1,5,1,3,1,3,3,1,5,3,4,5,3,4,2,5,5,0.5,0.166666666666667,70,70,2,4,50,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,5,3,0.5,0.333333333333333,30,70,3,4,83,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,4,5,0.5,0.833333333333333,85,60,1,3,33,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,6,4,0.666666666666667,1,85,30,1,3,69,1
1,1,5,4,5,5,2,5,5,5,2,5,4,3,5,1,5,7,2,0.5,0.333333333333333,50,50,1,4,49,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,4,NA,0.166666666666667,50,60,2,2,35,1
1,2,3,2,3,3,2,3,3,2,4,3,4,4,4,2,4,4,2,0.5,0.333333333333333,60,60,3,4,66,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,4,4,0.833333333333333,0.833333333333333,60,50,3,4,44,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,1,2,NA,0.166666666666667,85,100,0,2,70,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,6,5,NA,0.333333333333333,60,70,1,2,44,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,5,1,0.5,0,30,60,3,4,70,1
2,2,2,2,3,3,2,4,4,2,4,2,4,2,2,2,4,2,4,0.666666666666667,0.166666666666667,40,60,1,1,34,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7,5,0.333333333333333,1,70,30,2,3,35,0
2,2,NA,4,3,5,NA,4,4,4,4,3,4,4,4,4,2,6,2,0.833333333333333,0.666666666666667,85,15,1,3,78,1
1,1,3,1,3,1,4,2,5,4,5,5,5,1,5,1,1,3,4,0.666666666666667,0.666666666666667,50,50,2,2,30,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,4,5,NA,1,100,0,0,3,52,1
5,2,5,5,5,5,5,4,3,5,4,3,5,1,4,4,5,4,2,NA,0.333333333333333,100,85,0,3,68,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,7,2,0.833333333333333,0.666666666666667,100,50,0,3,30,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,4,2,0.5,0.5,50,50,2,1,20,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,6,5,NA,0.166666666666667,60,60,2,3,82,1
5,3,4,2,3,5,5,5,3,4,2,3,4,2,2,3,5,3,3,0.833333333333333,0.666666666666667,85,60,2,5,35,0
2,1,5,5,5,5,5,5,4,5,4,4,5,1,5,1,5,4,2,NA,0,40,85,0,3,73,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,4,4,0.5,1,60,40,2,2,21,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,5,0.5,0.833333333333333,100,100,2,4,60,1
1,1,4,1,1,3,2,2,2,1,2,2,4,1,2,2,1,2,1,0.333333333333333,0.5,60,60,1,3,37,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,3,0.666666666666667,0.333333333333333,50,50,1,4,19,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,NA,2,NA,0.5,NA,NA,0,1,18,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,3,4,NA,0.5,70,40,2,3,44,0
1,1,3,2,NA,5,4,5,5,5,5,1,5,3,1,1,5,4,5,0.5,0.666666666666667,100,30,3,4,63,0
3,3,3,2,3,3,3,3,3,3,4,3,2,3,2,3,2,4,3,0.5,0.833333333333333,50,50,3,3,40,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,6,2,0.333333333333333,0.666666666666667,70,70,3,2,23,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,7,5,0.833333333333333,1,100,15,1,3,32,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,NA,7,5,0.5,0.333333333333333,60,70,2,3,60,1
4,2,4,2,5,3,4,4,4,4,4,4,4,1,2,2,5,4,4,0.666666666666667,0.833333333333333,85,40,2,2,30,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,4,4,NA,0.166666666666667,85,100,1,3,60,1
4,2,4,5,5,3,5,5,1,5,4,2,4,1,4,1,5,1,2,0.5,0,100,60,1,2,31,0
