"manners","polite","respect","discip","obedience","behaved","orderly","loyal","white","black","latino","race","fem","college","relig_AthNoneDK","south","inc_40plus","age","religiosity","relig_cath","relig_prot","relig_evang","rr_sc","inc","inc_missing","educ_3cat","auth4","auth8","pid3","ideo3","immig_sc","gay_sc","cjs_pun_sc","ft_trump_sc","ft_rep_sc","ft_dem_sc","ResponseId"
1,1,1,1,1,1,0,0,0,0,1,"latino",0,0,1,0,0,0.111111111111111,0.25,0,0,0,0.666666666666667,0.277777777777778,0,1,1,0.75,-1,1,0.0833333333333333,0.25,0.875,0.02,0,0.79,"R_3LioMCoLaSspeat"
1,0,1,1,1,0,1,1,0,0,1,"latino",0,0,0,1,0,0.194444444444444,0,0,1,0,0.5,0.222222222222222,0,0,0.75,0.75,1,-1,1,0.166666666666667,0.875,0.65,1,0.49,"R_1q9SWQPqZD4P2uF"
1,1,1,1,1,1,0,0,0,0,1,"latino",0,0,0,1,0,0.0555555555555556,0.5,1,0,0,0.166666666666667,0.222222222222222,0,0,1,0.75,-1,-1,0.25,0.125,0.875,0.01,0.01,1,"R_2TAxm1LOjR696kb"
1,1,0,0,0,1,1,1,0,0,1,"latino",0,0,0,0,1,0.125,0.5,1,0,0,0.416666666666667,0.666666666666667,0,1,0.5,0.625,-1,-1,0.833333333333333,0.166666666666667,0.708333333333333,0.82,0.35,0.8,"R_2e2VzKl7rJlEAii"
1,0,0,0,0,0,0,0,0,0,1,"latino",0,0,0,0,0,0.444444444444444,0.25,1,0,0,0,0.388888888888889,0,0,0.25,0.125,-1,-1,0.0833333333333333,0,0,0.52,0.1,1,"R_s5mtTH4tPFXsVr3"
1,1,1,0,1,1,1,1,0,0,1,"latino",0,0,0,1,1,0.138888888888889,0.25,0,1,0,0.333333333333333,0.5,0,1,1,0.875,-1,-1,0.166666666666667,0.291666666666667,0.708333333333333,0.02,0.02,0.49,"R_2vkuoeTzzVdMJ7Y"
1,0,1,0,1,0,0,1,0,0,1,"latino",0,0,1,0,0,0.0833333333333333,0.75,0,0,0,0.75,0.333333333333333,0,0,0.75,0.5,-1,-1,0.75,0.291666666666667,0.75,0.47,0.59,0.39,"R_1QmVyb5ebzLGy65"
0,1,0,1,0,0,0,1,0,0,1,"latino",0,0,0,0,0,0.0972222222222222,0.25,0,0,0,0.75,0,0,0,0,0.375,1,0,0.416666666666667,1,0,0.11,0.14,0.16,"R_3kn2hKFk5QYelCU"
1,0,0,0,0,1,0,1,1,0,0,"white",0,0,0,0,0,0.180555555555556,0.75,0,1,0,0,0.277777777777778,0,1,0.5,0.375,-1,0,0,0,0.416666666666667,0,0,0.99,"R_1ikXXODx4uKU0aw"
1,1,1,0,0,0,0,0,0,0,1,"latino",0,0,0,1,0,0.319444444444444,0.25,1,0,0,0,0.333333333333333,0,1,0.5,0.375,-1,-1,0,0.166666666666667,1,0.17,0.01,1,"R_1cT9GW8DGbPYIQs"
1,0,1,0,1,0,0,0,0,0,1,"latino",0,0,0,0,0,0.111111111111111,0.25,1,0,0,0.5,0.277777777777778,0,0,0.75,0.375,-1,-1,0,0,0.75,0.13,0.14,0.78,"R_25HqrlQd0BnM8Bb"
0,1,0,0,0,1,0,0,0,0,1,"latino",0,0,1,1,NA,0,0,0,0,0,0.333333333333333,0,1,0,0.25,0.25,-1,0,0.0833333333333333,0.125,0.583333333333333,0.06,0.01,0.6,"R_3p9BMhTsZJVo4d0"
1,1,0,0,0,1,0,1,0,1,0,"black",1,1,0,1,0,0.180555555555556,1,0,0,0,0.583333333333333,0,0,2,0.5,0.5,-1,-1,0.75,0.583333333333333,0.833333333333333,0.32,0.21,1,"R_2rJA7wo30qyA0RB"
